name,region,municipality,address,latitude,longitude,power_station,connector,curret,power_charger
Cargadores Estacionamientos Aeropuerto Pudahuel - 1,Metropolitana,Pudahuel,Jean Mermoz 2101,-3.339.934,-7.079.489,22,Conector Tipo 2,AC,22
Cargadores Estacionamientos Aeropuerto Pudahuel - 2,Metropolitana,Pudahuel,Jean Mermoz 2101,-3.339.934,-7.079.489,22,Conector Tipo 2,AC,22
Cargadores Estacionamientos Aeropuerto Pudahuel - 3,Metropolitana,Pudahuel,Jean Mermoz 2101,-3.339.934,-7.079.489,22,Conector Tipo 2,AC,22
Cargadores Estacionamientos Aeropuerto Pudahuel - 4,Metropolitana,Pudahuel,Jean Mermoz 2101,-3.339.934,-7.079.489,22,Conector Tipo 2,AC,22
Cargadores Estacionamientos Aeropuerto Pudahuel - 5,Metropolitana,Pudahuel,Jean Mermoz 2101,-3.339.934,-7.079.489,22,Conector Tipo 2,AC,22
Cargadores Estacionamientos Aeropuerto Pudahuel - 6,Metropolitana,Pudahuel,Jean Mermoz 2101,-3.339.934,-7.079.489,22,Conector Tipo 2,AC,22
Enel X - Mc Donald Iquique - 1,Tarapacá,Iquique,Heroes de la Cocepcion 2494,-2.023.345,-7.014.197,22,Conector Tipo 2,AC,22
Enel X Mc Donald Pajaritos - 1,Metropolitana,Maipú,Pajaritos 2872,-3.350.085,-707.576,44,Conector Tipo 2,AC,22
Enel X Mc Donald Pajaritos - 1,Metropolitana,Maipú,Pajaritos 2872,-3.350.085,-707.576,44,Conector Tipo 2,AC,22
Mc Donalds Independencia - 1,Metropolitana,Independencia,avenida independencia 397,-3.342.653,-706.542,7,4,Conector Tipo 2,AC,7,4
Mc Donalds Independencia - 2,Metropolitana,Independencia,avenida independencia 397,-3.342.653,-706.542,7,4,Conector Tipo 2,AC,7,4
Mc Donalds Kennedy - 1,Metropolitana,Las Condes,Av. Presidente Kennedy Lateral 5055,-3.340.249,-7.058.085,14,Conector Tipo 2,AC,7
Mc Donalds Kennedy - 1,Metropolitana,Las Condes,Av. Presidente Kennedy Lateral 5055,-3.340.249,-7.058.085,14,Conector Tipo 2,AC,7
Mc Donalds Vicuña Mackenna - 1,Metropolitana,La Florida,Av. vicuña mackenna 8153,-3.352.875,-7.059.615,7,4,Conector Tipo 2,AC,7,4
Mc Donalds Vicuña Mackenna - 2,Metropolitana,La Florida,Av. vicuña mackenna 8153,-3.352.875,-7.059.615,7,4,Conector Tipo 2,AC,7,4
Automóvil Club Chile - 1,Metropolitana,Providencia,Andr¿s Bello 1863,-3.342.294,-7.061.701,14,Conector Tipo 1,AC,7
Automóvil Club Chile - 1,Metropolitana,Providencia,Andr¿s Bello 1863,-3.342.294,-7.061.701,14,Conector Tipo 2,AC,7
Inst. Cargador Globalvía Peaje Lampa Poniente - 1,Metropolitana,Lampa,Ruta 5 Norte km.26 Poniente 000,-3.323.692,-7.075.872,55,Conector Tipo 2,AC,43
Inst. Cargador Globalvía Peaje Lampa Poniente - 1,Metropolitana,Lampa,Ruta 5 Norte km.26 Poniente 000,-3.323.692,-7.075.872,55,CHAdeMO,DC,50
Inst. Cargador Globalvía Peaje Lampa Poniente - 1,Metropolitana,Lampa,Ruta 5 Norte km.26 Poniente 000,-3.323.692,-7.075.872,55,Combinado Tipo 2,DC,50
Bodegas San Francisco - 1,Metropolitana,Pudahuel,Puerto Madero 9710,-3.345.277,-7.078.616,44,Conector Tipo 2,AC,22
Bodegas San Francisco - 1,Metropolitana,Pudahuel,Puerto Madero 9710,-3.345.277,-7.078.616,44,Conector Tipo 2,AC,22
Bodegas San Francisco,Metropolitana,Pudahule,Camino La Farfana 390,-3.345.543,-7.080.337,22,Conector Tipo 2,AC,22
BSF - 1,Metropolitana,Pudahuel,Americo Vespucio 400,-3.345.607,-7.076.757,44,Conector Tipo 2,AC,22
BSF - 1,Metropolitana,Pudahuel,Americo Vespucio 400,-3.345.607,-7.076.757,44,Conector Tipo 2,AC,22
Dreams Punta Arenas - 1,Magallanes y de la Antártica Chilena,Punta Arenas,Libertador Bernardo Ohiggins 1235,-5.316.611,-7.090.611,7,4,Conector Tipo 1,AC,7,4
Dreams Punta Arenas - 2,Magallanes y de la Antártica Chilena,Punta Arenas,Libertador Bernardo Ohiggins 1235,-5.316.611,-7.090.611,7,4,Conector Tipo 1,AC,7,4
Casino Enjoy Los Andes - 1,Valparaíso,Los Andes,Carretera san Martin 57,-3.292.659,-7.068.015,44,Conector Tipo 2,AC,22
Casino Enjoy Los Andes - 1,Valparaíso,Los Andes,Carretera san Martin 57,-3.292.659,-7.068.015,44,Conector Tipo 2,AC,22
Tanica Poniente - 1,Metropolitana,Vitacura,Santa Maria 5870,-3.338.042,-705.857,14,Conector Tipo 2,AC,7
Tanica Poniente - 1,Metropolitana,Vitacura,Santa Maria 5870,-3.338.042,-705.857,14,Conector Tipo 2,AC,7
Cargador Electrico Jumbo-Easy Vina del Mar - 1,Valparaíso,Vina del Mar,Uno Norte 2887,-3.303.596,-7.152.344,7,4,Conector Tipo 2,AC,7,4
CGE Concepción 1,Biobío,Concepción,Barros Arana #64,-3.682.982,-7.305.819,7,Conector Tipo 1,AC,7
CGE Concepción 2,Biobío,Concepción,Barros Arana #64,-3.682.982,-7.305.819,7,Conector Tipo 1,AC,7
Electrolinera Arica - 1,Arica y Parinacota,Arica,Santa Maria 2724,-1.846.279,-7.029.762,44,Conector Tipo 2,AC,22
Electrolinera Arica - 1,Arica y Parinacota,Arica,Santa Maria 2724,-1.846.279,-7.029.762,44,Conector Tipo 2,AC,22
Mall ZOFRI - 1,Tarapacá,Iquique,salitrera victoria s/n,-2.020.505,-7.013.945,44,Conector Tipo 2,AC,22
Mall ZOFRI - 1,Tarapacá,Iquique,salitrera victoria s/n,-2.020.505,-7.013.945,44,Conector Tipo 2,AC,22
Oficina CGE, Copiapo - 1,Atacama,Copiapó,avenida circunvalaci¿n 51,-2.736.084,-703.386,44,Conector Tipo 2,AC,22
Oficina CGE, Copiapo - 1,Atacama,Copiapó,avenida circunvalaci¿n 51,-2.736.084,-703.386,44,Conector Tipo 2,AC,22
Plaza Vicuña Mackena 1,Coquimbo,Coquimbo,Plaza Vicuña Mackenna, Barrio Ingles.,-2.994.943,-7.133.725,7,Conector Tipo 1,AC,7
